,system,target,server,fastbest,sparse,extreme,check_labels,check,replication,time_compress,size_compress
182,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,2,324.0,290395568
183,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,3,323.339,290395568
184,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,4,325.531,290395568
185,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,5,324.058,290395568
186,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,6,326.1,290395568
187,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,7,331.191,290395568
188,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,8,328.69699999999995,290395568
189,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,none,2,9,331.615,290395568
190,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,0,352.852,290395600
191,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,1,350.564,290395600
192,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,2,349.281,290395600
193,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,3,350.96,290395600
194,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,4,358.478,290395600
195,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,5,354.3930000000001,290395600
196,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,6,351.047,290395600
197,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,7,353.185,290395600
198,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,8,377.888,290395600
199,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,0,sha256,3,9,351.634,290395600
200,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,0,1638.779,249101712
201,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,1,1639.9979999999996,249101712
202,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,2,1644.034,249101712
203,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,3,1640.69,249101712
204,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,4,1642.922,249101712
205,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,5,1680.922,249101712
206,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,6,1650.313,249101712
207,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,7,1629.346,249101712
208,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,8,1639.501,249101712
209,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc32,0,9,1648.651,249101712
210,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,0,1640.134,249101716
211,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,1,1640.396,249101716
212,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,2,1638.5220000000004,249101716
213,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,3,1643.687,249101716
214,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,4,1643.066,249101716
215,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,5,1646.3770000000004,249101716
216,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,6,1645.235,249101716
217,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,7,1647.4589999999996,249101716
218,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,8,1642.332,249101716
219,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,crc64,1,9,1650.8239999999996,249101716
220,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,0,1640.908,249101708
221,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,1,1642.609,249101708
222,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,2,1631.177,249101708
223,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,3,1647.371,249101708
224,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,4,1617.395,249101708
225,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,5,1625.942,249101708
226,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,6,1621.5870000000002,249101708
227,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,7,1622.424,249101708
228,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,8,1627.553,249101708
229,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,none,2,9,1613.155,249101708
230,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,0,1652.786,249101740
231,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,1,1641.49,249101740
232,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,2,1631.22,249101740
233,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,3,1650.565,249101740
234,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,4,1635.184,249101740
235,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,5,1649.193,249101740
236,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,6,1649.256,249101740
237,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,7,1649.546,249101740
238,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,8,1642.664,249101740
239,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,0,1,sha256,3,9,1651.424,249101740
240,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,0,330.867,290395572
241,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,1,329.759,290395572
242,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,2,330.3040000000001,290395572
243,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,3,329.785,290395572
244,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,4,330.038,290395572
245,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,5,343.361,290395572
246,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,6,330.732,290395572
247,xz,benchmark/targets/text/enwik9_10,BasicA1-japaneast,1,1,0,crc32,0,7,328.916,290395572
