,system,target,server,fastbest,rsyncable,replication,time_compress,size_compress
224,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,4,217.316,330740993
225,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,5,217.138,330740993
226,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,6,217.308,330740993
227,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,7,216.371,330740993
228,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,8,217.866,330740993
229,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,9,217.751,330740993
230,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,0,230.293,330740993
231,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,1,219.155,330740993
232,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,2,218.361,330740993
233,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,3,217.281,330740993
234,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,4,218.323,330740993
235,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,5,218.299,330740993
236,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,6,219.551,330740993
237,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,7,218.4,330740993
238,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,8,217.722,330740993
239,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,6,1,9,217.533,330740993
240,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,0,222.29,323099079
241,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,1,205.194,323099079
242,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,2,205.759,323099079
243,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,3,205.104,323099079
244,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,4,204.767,323099079
245,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,5,205.021,323099079
246,gzip,benchmark/targets/text/enwik9_10,BasicA0-brazilsouth,7,0,6,204.741,323099079
